id,lat,lon,year_mon
1,37.778676959,-122.408601057,2022-02
2,37.776852076,-122.419454933,2021-03
3,37.786570555,-122.413973061,2023-09
4,37.78799839,-122.420094921,2024-05
5,37.798191331,-122.403679982,2022-01
6,37.781145862,-122.409026046,2021-12
7,37.764373209,-122.41747849,2022-02
8,37.78487378,-122.389808109,2021-06
9,37.758376765,-122.42237488,2021-08
10,37.720095934,-122.443873441,2023-09
11,37.787173525,-122.417641341,2022-09
12,37.762313571,-122.438959982,2021-10
13,37.788635276,-122.416990341,2022-07
14,37.802461767,-122.415491758,2020-10
15,37.796551048,-122.405283979,2020-06
16,37.783046322,-122.410801053,2023-05
17,37.786259862,-122.4172796,2020-03
18,37.799056715,-122.418949983,2022-10
19,37.774830871,-122.438621453,2024-08
20,37.773610639,-122.464291404,2021-12
21,37.775328443,-122.395002097,2024-07
22,37.779405138,-122.432762899,2023-01
23,37.76473758,-122.461059498,2024-09
24,37.792008848,-122.415139729,2022-11
25,37.718722284,-122.389118323,2023-02
26,37.73165057,-122.446937341,2024-01
27,37.762268798,-122.507668237,2020-05
28,37.730393305,-122.405771886,2023-05
29,37.759221413,-122.463311021,2020-10
30,37.800481142,-122.431961475,2023-05
31,37.733592415,-122.387018017,2021-01
32,37.798465839,-122.40743069,2020-03
33,37.774131213,-122.430012452,2020-10
34,37.790513717,-122.413080089,2022-11
35,37.790280287,-122.414916875,2021-03
36,37.777083316,-122.416979514,2022-09
37,37.78832457,-122.393911345,2023-05
38,37.719992629,-122.443939429,2020-07
39,37.782320195,-122.414028016,2021-08
40,37.766454411,-122.397385697,2020-11
41,37.717017872,-122.460296367,2020-12
42,37.752724806,-122.467117651,2023-10
43,37.708760274,-122.453860529,2021-06
44,37.732546426,-122.38503622,2020-08
45,37.780142155,-122.427851896,2022-10
46,37.794613864,-122.403978966,2023-04
47,37.738074051,-122.399915418,2024-08
48,37.760905265,-122.421432818,2022-01
49,37.744900376,-122.49738395,2021-10
50,37.728604451,-122.425622121,2022-05
51,37.755969441,-122.410828224,2020-03
52,37.77714448,-122.415757032,2024-08
53,37.73165057,-122.446937341,2024-02
54,37.761031443,-122.419351641,2023-12
55,37.762224781,-122.425026712,2022-10
56,37.775245047,-122.443780099,2020-01
57,37.746819694,-122.44038062,2021-11
58,37.781595588,-122.412190669,2023-03
59,37.791697251,-122.39213406,2022-04
60,37.774851971,-122.43184113,2024-09
61,37.78832457,-122.393911345,2022-10
62,37.750452868,-122.40802958,2021-01
63,37.783260387,-122.418366153,2021-01
64,37.795596152,-122.410501064,2023-07
65,37.774091304,-122.419997169,2022-07
66,37.722653939,-122.454180302,2022-04
67,37.773393279,-122.434919576,2022-10
68,37.790561917,-122.405159641,2023-12
69,37.779758608,-122.470711255,2023-08
70,37.753099981,-122.41750085,2021-12
71,37.758426923,-122.435813348,2023-11
72,37.778353062,-122.459861683,2021-04
73,37.731751769,-122.383084173,2022-08
74,37.737000579,-122.386500453,2024-03
75,37.752002337,-122.408984897,2024-06
76,37.763654746,-122.393765213,2021-10
77,37.783388956,-122.409832446,2023-04
78,37.787369592,-122.395351492,2024-06
79,37.77232443,-122.510034922,2021-08
80,37.718515313,-122.447057933,2023-11
81,37.759679315,-122.429316588,2021-11
82,37.765762128,-122.450691487,2021-09
83,37.710764689,-122.390792804,2020-05
84,37.774091304,-122.419997169,2022-07
85,37.758033539,-122.462031432,2022-08
86,37.789478818,-122.414561131,2023-05
87,37.775328443,-122.395002097,2022-10
88,37.720924823,-122.461168964,2021-05
89,37.736617778,-122.42483371,2022-09
90,37.789165632,-122.43136289,2023-05
91,37.777083316,-122.416979514,2022-09
92,37.777083316,-122.416979514,2022-08
93,37.772694134,-122.42218914,2020-08
94,37.771224276,-122.429426468,2020-10
95,37.77714448,-122.415757032,2021-06
96,37.783388956,-122.409832446,2023-02
97,37.761031443,-122.419351641,2021-09
98,37.786004828,-122.395077257,2021-08
99,37.788126304,-122.417657212,2022-01
100,37.781925082,-122.465491721,2023-02
101,37.716563538,-122.43088871,2024-04
102,37.717460898,-122.477450501,2020-02
103,37.781537434,-122.40951834,2022-08
104,37.799629606,-122.404215132,2023-05
105,37.731478804,-122.403219,2020-02
106,37.764112737,-122.421739994,2020-12
107,37.720685585,-122.46454168,2022-04
108,37.781595588,-122.412190669,2023-06
109,37.731045533,-122.409969075,2022-05
110,37.782335975,-122.393092579,2022-08
111,37.784875453,-122.38965631,2021-05
112,37.71568992,-122.45479584,2020-09
113,37.786377576,-122.392446006,2022-12
114,37.752979159,-122.405828502,2024-11
115,37.763654746,-122.393765213,2024-09
116,37.709723157,-122.461239759,2022-07
117,37.723083603,-122.444004642,2023-05
118,37.764373209,-122.41747849,2022-05
119,37.773679765,-122.427472954,2022-12
120,37.775140431,-122.411799524,2021-08
121,37.738508387,-122.409057186,2021-10
122,37.783260387,-122.418366153,2023-12
123,37.797998108,-122.417192283,2024-05
124,37.781145862,-122.409026046,2022-02
125,37.78832457,-122.393911345,2022-06
126,37.781145862,-122.409026046,2020-12
127,37.782723971,-122.396167865,2022-04
128,37.775328443,-122.395002097,2021-04
129,37.777083316,-122.416979514,2023-03
130,37.787504496,-122.414163692,2022-05
131,37.7220361,-122.401210137,2024-10
132,37.773408312,-122.486332269,2022-01
133,37.783673953,-122.415072979,2022-10
134,37.779027964,-122.48687687,2021-01
135,37.751252542,-122.421447402,2020-01
136,37.787027218,-122.394922601,2022-09
137,37.783388956,-122.409832446,2023-04
138,37.716938308,-122.434084553,2024-07
139,37.777790309,-122.412834332,2021-09
140,37.786127902,-122.440904715,2024-04
141,37.783673953,-122.415072979,2022-12
142,37.779811917,-122.469491764,2024-10
143,37.78832457,-122.393911345,2022-06
144,37.765023819,-122.465379847,2021-08
145,37.781145862,-122.409026046,2020-12
146,37.781145862,-122.409026046,2020-02
147,37.719013286,-122.480443681,2020-06
148,37.761588637,-122.500701827,2021-02
149,37.782721757,-122.468162636,2022-01
150,37.768110129,-122.421776597,2020-07
151,37.761246342,-122.466046391,2021-03
152,37.777486533,-122.397691886,2022-01
153,37.724764666,-122.394718932,2023-03
154,37.761469063,-122.404265614,2023-07
155,37.793296234,-122.435568358,2021-02
156,37.710554004,-122.43518717,2021-10
157,37.722661243,-122.437128784,2021-10
158,37.727029487,-122.434414807,2022-08
159,37.78658886,-122.401692292,2020-01
160,37.774408922,-122.44192172,2023-09
161,37.781145862,-122.409026046,2020-11
162,37.784498756,-122.415240041,2021-09
163,37.789478406,-122.406166894,2021-02
164,37.787277155,-122.416825198,2020-07
165,37.782723971,-122.396167865,2022-06
166,37.752766726,-122.410519782,2024-08
167,37.785436481,-122.415336128,2022-10
168,37.787542195,-122.394270413,2021-03
169,37.772359929,-122.391397888,2021-09
170,37.801961772,-122.417853325,2023-09
171,37.731296227,-122.380133846,2023-10
172,37.79303438,-122.407405071,2022-11
173,37.760630122,-122.500028139,2024-06
174,37.76830566,-122.427693846,2022-11
175,37.751304598,-122.479422522,2023-04
176,37.720224315,-122.451224873,2022-03
177,37.784903778,-122.483006491,2024-03
178,37.783565477,-122.415051135,2021-04
179,37.759694412,-122.441904387,2022-01
180,37.719728442,-122.476792566,2020-02
181,37.722760282,-122.455200494,2023-07
182,37.764373209,-122.41747849,2021-10
183,37.713216046,-122.460797255,2022-09
184,37.774533881,-122.502672177,2022-01
185,37.776305655,-122.431223178,2021-10
186,37.787598162,-122.420926156,2020-11
187,37.751487489,-122.475280557,2022-02
188,37.776495408,-122.427892594,2024-09
189,37.790622188,-122.41310198,2024-06
190,37.7220361,-122.401210137,2024-10
191,37.786986977,-122.419110401,2022-01
192,37.743468244,-122.48747244,2024-10
193,37.791351109,-122.432718939,2020-07
194,37.790108062,-122.420522076,2024-01
195,37.774973335,-122.403306382,2023-02
196,37.729434959,-122.377022281,2021-01
197,37.783673953,-122.415072979,2023-07
198,37.786554024,-122.429146334,2024-03
199,37.748943499,-122.409635096,2021-11
200,37.723083603,-122.444004642,2023-11
201,37.801704177,-122.428833527,2021-11
202,37.769486785,-122.429522202,2022-02
203,37.78161364,-122.41205414,2022-09
204,37.758676483,-122.417413346,2020-01
205,37.787504496,-122.414163692,2022-03
206,37.75525804,-122.408352038,2021-11
207,37.778850669,-122.430485431,2022-10
208,37.774091304,-122.419997169,2022-07
209,37.799341978,-122.409819422,2023-05
210,37.779530959,-122.413542707,2024-11
211,37.798190965,-122.430584724,2020-12
212,37.753648459,-122.408334854,2024-07
213,37.718722284,-122.389118323,2020-12
214,37.780646414,-122.427178093,2022-10
215,37.78832457,-122.393911345,2022-10
216,37.722760282,-122.455200494,2021-08
217,37.725408389,-122.424719351,2021-09
218,37.787027218,-122.394922601,2023-09
219,37.777887965,-122.413601564,2021-03
220,37.737486194,-122.388879302,2024-08
221,37.803961053,-122.43712616,2024-09
222,37.732487705,-122.384363365,2020-12
223,37.761583183,-122.424418053,2020-06
224,37.774815417,-122.42600232,2020-02
225,37.776839383,-122.493175112,2021-07
226,37.777486533,-122.397691886,2021-08
227,37.774091304,-122.419997169,2022-07
228,37.78832457,-122.393911345,2022-10
229,37.778487482,-122.425830801,2021-11
230,37.744892591,-122.432347589,2022-03
231,37.795032571,-122.407793069,2024-06
232,37.791351109,-122.432718939,2020-03
233,37.800938367,-122.405642887,2021-04
234,37.785325833,-122.417091508,2022-09
235,37.741368855,-122.422541992,2022-01
236,37.79838308,-122.407521729,2023-07
237,37.78832457,-122.393911345,2024-09
238,37.801255701,-122.416017145,2022-06
239,37.777083316,-122.416979514,2024-12
240,37.784838244,-122.466174481,2023-07
241,37.778676959,-122.408601057,2022-08
242,37.749683691,-122.435038655,2022-03
243,37.779530959,-122.413542707,2022-02
244,37.778062041,-122.466289975,2020-07
245,37.791765801,-122.40748925,2023-10
246,37.786986977,-122.419110401,2022-02
247,37.777534241,-122.440863684,2024-07
248,37.774748587,-122.476286293,2021-07
249,37.7383396,-122.476496197,2023-07
250,37.784768459,-122.486087156,2024-03
251,37.74848125,-122.417336501,2021-03
252,37.738645781,-122.492053728,2020-09
253,37.731664967,-122.443138524,2021-09
254,37.800359768,-122.421041384,2023-08
255,37.778797888,-122.422520702,2022-04
256,37.772042847,-122.438055988,2022-02
257,37.718133789,-122.385483392,2023-08
258,37.748192598,-122.44493523,2023-05
259,37.763561299,-122.423876264,2024-09
260,37.771722675,-122.393266192,2022-09
261,37.765600241,-122.424062974,2020-03
262,37.714242403,-122.46394956,2022-04
263,37.752569794,-122.393134686,2024-10
264,37.782335975,-122.393092579,2021-12
265,37.772527514,-122.449976003,2023-10
266,37.754308585,-122.424144017,2022-08
267,37.79636509,-122.414263601,2020-08
268,37.716544345,-122.388673912,2021-06
269,37.783388956,-122.409832446,2022-09
270,37.798600287,-122.400451482,2020-10
271,37.761031443,-122.419351641,2021-09
272,37.783388956,-122.409832446,2021-04
273,37.78832457,-122.393911345,2022-08
274,37.797657371,-122.411923656,2023-02
275,37.777486533,-122.397691886,2024-11
276,37.731850435,-122.396778517,2024-02
277,37.773932873,-122.423166149,2021-10
278,37.787027218,-122.394922601,2022-08
279,37.714358622,-122.473175139,2024-06
280,37.796632337,-122.435327433,2020-01
281,37.781189877,-122.481656891,2024-05
282,37.79226943,-122.407814771,2021-10
283,37.783904332,-122.390120594,2022-05
284,37.783388956,-122.409832446,2021-06
285,37.777083316,-122.416979514,2023-08
286,37.71596767,-122.48169017,2020-02
287,37.782723971,-122.396167865,2021-10
288,37.744465043,-122.43884985,2024-10
289,37.774750043,-122.435966328,2023-11
290,37.779766553,-122.438328083,2024-09
291,37.750087132,-122.445350114,2021-01
292,37.742573192,-122.421763077,2022-02
293,37.762876596,-122.427832473,2020-01
294,37.781217186,-122.45699815,2024-11
295,37.78832457,-122.393911345,2023-06
296,37.78658886,-122.401692292,2020-08
297,37.784091036,-122.411784368,2023-12
298,37.79636509,-122.414263601,2020-08
299,37.778313603,-122.424882716,2020-02
300,37.716572004,-122.390307055,2023-05
301,37.78832457,-122.393911345,2022-10
302,37.78832457,-122.393911345,2023-01
303,37.792124245,-122.423528289,2020-12
304,37.777107722,-122.423094,2021-11
305,37.772128127,-122.422909157,2023-06
306,37.751283573,-122.408512518,2021-01
307,37.77961924,-122.431081567,2022-10
308,37.789264947,-122.412049085,2022-07
309,37.779530959,-122.413542707,2023-01
310,37.757487708,-122.508938005,2023-02
311,37.803961053,-122.43712616,2024-09
312,37.777474192,-122.47924266,2022-08
313,37.71568992,-122.45479584,2021-10
314,37.777001636,-122.407616686,2022-03
315,37.783565477,-122.415051135,2022-07
316,37.780534637,-122.435588689,2021-02
317,37.765632803,-122.462198114,2023-05
318,37.786601952,-122.419812186,2024-04
319,37.773861778,-122.413045971,2023-02
320,37.761427456,-122.405089574,2023-02
321,37.802251844,-122.417134301,2024-12
322,37.768383552,-122.417249514,2021-12
323,37.794613864,-122.403978966,2022-05
324,37.759503829,-122.417972425,2020-05
325,37.789670951,-122.419657119,2020-03
326,37.732870918,-122.407218369,2022-03
327,37.784240454,-122.475899822,2024-10
328,37.770470293,-122.451242158,2022-04
329,37.757048383,-122.476471289,2023-06
330,37.733907993,-122.39221837,2022-01
331,37.79303438,-122.407405071,2022-03
332,37.780457839,-122.428690538,2022-09
333,37.76317384,-122.507265411,2021-01
334,37.772359929,-122.391397888,2021-06
335,37.78832457,-122.393911345,2023-06
336,37.782335975,-122.393092579,2023-03
337,37.778277757,-122.438339177,2020-02
338,37.778062041,-122.466289975,2020-01
339,37.801504322,-122.423746616,2024-05
340,37.786995531,-122.414832698,2024-09
341,37.799016342,-122.428290721,2020-09
342,37.753880143,-122.416954469,2024-08
343,37.720319144,-122.393319812,2021-10
344,37.788955612,-122.417825829,2021-12
345,37.759806799,-122.425386497,2020-10
346,37.78832457,-122.393911345,2022-10
347,37.773769451,-122.497712216,2021-06
348,37.777083316,-122.416979514,2024-12
349,37.791697251,-122.39213406,2024-10
350,37.777790309,-122.412834332,2022-04
351,37.783388956,-122.409832446,2020-01
352,37.78832457,-122.393911345,2023-03
353,37.756372706,-122.491739885,2021-11
354,37.769812263,-122.424206499,2024-08
355,37.782448498,-122.416327441,2023-05
356,37.779767116,-122.408298618,2021-09
357,37.752561454,-122.426474366,2021-11
358,37.763407358,-122.439048936,2020-03
359,37.78002675,-122.436259178,2024-09
360,37.743921473,-122.437233045,2021-01
361,37.717515182,-122.480598519,2021-10
362,37.763420729,-122.501766535,2022-11
363,37.745609236,-122.481314886,2020-09
364,37.756494368,-122.414533514,2020-05
365,37.772694134,-122.42218914,2020-07
366,37.753095117,-122.403879225,2024-04
367,37.763366108,-122.502979227,2023-08
368,37.777083316,-122.416979514,2022-08
369,37.715544557,-122.473629106,2023-07
370,37.786360792,-122.415616899,2024-12
371,37.743562433,-122.485331779,2022-06
372,37.732862486,-122.391513418,2021-11
373,37.780774248,-122.455070175,2021-10
374,37.765582441,-122.463269353,2023-08
375,37.797998108,-122.417192283,2024-07
376,37.796344127,-122.416858771,2024-03
377,37.777790309,-122.412834332,2021-05
378,37.784237112,-122.440760814,2020-10
379,37.805554274,-122.410285575,2020-08
380,37.781145862,-122.409026046,2022-04
381,37.796640417,-122.424436546,2023-09
382,37.797998108,-122.417192283,2024-03
383,37.762256513,-122.485564557,2020-02
384,37.777887965,-122.413601564,2022-01
385,37.77389201,-122.475751377,2020-03
386,37.785942727,-122.418902557,2022-11
387,37.781783302,-122.468703265,2024-10
388,37.776569057,-122.509262829,2022-09
389,37.750087132,-122.445350114,2020-12
390,37.785024662,-122.41197189,2022-04
391,37.730886198,-122.399992809,2022-06
392,37.732955634,-122.387590806,2024-09
393,37.778897241,-122.433433309,2021-11
394,37.713829477,-122.4333191,2024-07
395,37.77714448,-122.415757032,2023-02
396,37.800064552,-122.408332405,2023-02
397,37.773496894,-122.430795158,2022-11
398,37.751283573,-122.408512518,2021-04
399,37.773610639,-122.464291404,2021-12
400,37.723575891,-122.425825453,2021-11
401,37.777083316,-122.416979514,2022-08
402,37.775627747,-122.428628519,2021-12
403,37.786004828,-122.395077257,2023-10
404,37.77921535,-122.456329486,2022-05
405,37.772365253,-122.414746123,2022-06
406,37.72030093,-122.434349394,2023-12
407,37.756297556,-122.417804428,2023-07
408,37.778879822,-122.433569963,2024-11
409,37.783990967,-122.415908807,2022-04
410,37.778438958,-122.479779571,2024-12
411,37.789795697,-122.415397149,2024-08
412,37.780763699,-122.49116385,2023-11
413,37.715533501,-122.404504157,2021-12
414,37.759733171,-122.441287759,2023-09
415,37.78832457,-122.393911345,2022-08
416,37.785736789,-122.389124364,2023-12
417,37.773037538,-122.420091947,2024-09
418,37.763937903,-122.394214129,2022-09
419,37.78833714,-122.416017226,2024-11
420,37.78487706,-122.442348915,2021-04
421,37.779489776,-122.407376438,2022-06
422,37.761357777,-122.505924513,2022-03
423,37.72941909,-122.404411916,2020-01
424,37.77274893,-122.419207296,2024-10
425,37.752886166,-122.485984047,2024-09
426,37.802511614,-122.445913523,2024-01
427,37.73165057,-122.446937341,2024-01
428,37.788020549,-122.42606156,2024-09
429,37.727136855,-122.367581025,2023-06
430,37.759435613,-122.431523799,2024-08
431,37.752822074,-122.409603405,2020-02
432,37.800803175,-122.436797742,2020-12
433,37.739123409,-122.501137991,2020-06
434,37.746533077,-122.502737011,2021-04
435,37.728555307,-122.412803428,2021-05
436,37.774759785,-122.416457295,2024-06
437,37.777700467,-122.431132873,2024-07
438,37.776384775,-122.442321335,2021-09
439,37.719105637,-122.454158088,2023-03
440,37.766703828,-122.420236789,2021-10
441,37.782441508,-122.420574033,2022-08
442,37.750239237,-122.411600558,2022-03
443,37.716018901,-122.477977456,2020-06
444,37.719183573,-122.484666249,2020-02
445,37.708761597,-122.416945384,2023-11
446,37.749817567,-122.432828271,2021-07
447,37.775328443,-122.395002097,2021-02
448,37.783565477,-122.415051135,2022-08
449,37.789478818,-122.414561131,2022-07
450,37.738693277,-122.490981915,2020-09
451,37.777083316,-122.416979514,2024-12
452,37.733065166,-122.392752918,2021-10
453,37.777486533,-122.397691886,2022-01
454,37.769947478,-122.421979237,2022-08
455,37.715544557,-122.473629106,2020-02
456,37.777790309,-122.412834332,2021-02
457,37.795895499,-122.42260152,2022-09
458,37.780052504,-122.409773824,2024-03
459,37.772359929,-122.391397888,2022-08
460,37.785631782,-122.413782611,2022-01
461,37.764747841,-122.471664666,2021-02
462,37.724652378,-122.402288649,2024-06
463,37.739036227,-122.42534821,2022-08
464,37.76944087,-122.424670274,2024-10
465,37.783388956,-122.409832446,2022-11
466,37.792015775,-122.423506394,2021-10
467,37.803216047,-122.432514629,2020-09
468,37.759221413,-122.463311021,2021-03
469,37.790388758,-122.414938763,2024-07
470,37.789478818,-122.414561131,2023-05
471,37.773408312,-122.486332269,2021-12
472,37.751304598,-122.479422522,2022-10
473,37.795877309,-122.444574929,2023-11
474,37.780646414,-122.427178093,2022-10
475,37.772423338,-122.507888505,2021-07
476,37.806503908,-122.410335821,2020-06
477,37.761590094,-122.480746316,2020-03
478,37.801495193,-122.430478136,2021-09
479,37.782625674,-122.434187754,2021-11
480,37.766454411,-122.397385697,2024-11
481,37.748904592,-122.413186909,2020-08
482,37.785890332,-122.411725718,2022-05
483,37.748250486,-122.506221854,2021-01
484,37.78487378,-122.389808109,2021-08
485,37.756574965,-122.398800338,2022-01
486,37.772694134,-122.42218914,2022-03
487,37.778636949,-122.495306375,2022-04
488,37.757966456,-122.388787098,2023-10
489,37.777790309,-122.412834332,2021-02
490,37.78832457,-122.393911345,2023-06
491,37.78832457,-122.393911345,2022-06
492,37.792204029,-122.426000257,2020-03
493,37.780457839,-122.428690538,2022-09
494,37.78832457,-122.393911345,2022-10
495,37.765125545,-122.432179032,2023-12
496,37.796344127,-122.416858771,2023-11
497,37.777107722,-122.423094,2022-03
498,37.70916003,-122.451801432,2023-04
499,37.783388956,-122.409832446,2021-11
500,37.778636949,-122.495306375,2024-08
501,37.781717539,-122.389147051,2022-01
502,37.776272977,-122.423566979,2021-10
503,37.787504496,-122.414163692,2021-05
504,37.784396494,-122.416900458,2023-09
505,37.719620661,-122.406766106,2021-10
506,37.78658886,-122.401692292,2020-01
507,37.78832457,-122.393911345,2022-08
508,37.709689814,-122.456404912,2020-02
509,37.801174807,-122.429500503,2020-12
510,37.787294802,-122.454425457,2021-10
511,37.763654746,-122.393765213,2021-10
512,37.773603965,-122.482047281,2023-09
513,37.758931317,-122.421382558,2020-03
514,37.732452203,-122.425386419,2020-06
515,37.782448498,-122.416327441,2023-03
516,37.792059517,-122.416947427,2022-01
517,37.762192016,-122.42268246,2024-03
518,37.782321235,-122.425763303,2022-06
519,37.76860658,-122.449976975,2023-05
520,37.779813722,-122.403860418,2022-10
521,37.794613864,-122.403978966,2024-06
522,37.778487482,-122.425830801,2021-10
523,37.716705754,-122.477680051,2022-04
524,37.784299382,-122.410141319,2023-02
525,37.758849009,-122.477940976,2024-06
526,37.784616481,-122.41097737,2020-07
527,37.773408312,-122.486332269,2021-09
528,37.777083316,-122.416979514,2020-07
529,37.714358622,-122.473175139,2021-05
530,37.776021847,-122.414869834,2021-08
531,37.78500949,-122.418713807,2024-11
532,37.78658886,-122.401692292,2020-01
533,37.780658986,-122.456084857,2021-05
534,37.769571487,-122.420224195,2022-04
535,37.789064182,-122.417846924,2021-07
536,37.788628733,-122.398912582,2024-12
537,37.77714448,-122.415757032,2021-05
538,37.748222087,-122.424959613,2020-03
539,37.780877259,-122.414506898,2024-05
540,37.717258953,-122.447343392,2024-12
541,37.801624499,-122.404014796,2023-03
542,37.783260387,-122.418366153,2023-02
543,37.764373209,-122.41747849,2021-11
544,37.773496894,-122.430795158,2020-01
545,37.774091304,-122.419997169,2022-07
546,37.757607006,-122.447010819,2024-12
547,37.800803175,-122.436797742,2020-10
548,37.786986977,-122.419110401,2022-01
549,37.732408468,-122.378290058,2022-04
550,37.802985058,-122.41222223,2022-11
551,37.78832457,-122.393911345,2022-10
552,37.75490336,-122.414241575,2024-07
553,37.737436885,-122.423574016,2022-04
554,37.78832457,-122.393911345,2022-10
555,37.774815417,-122.42600232,2020-02
556,37.729163097,-122.382538001,2022-03
