TL_GEO_ID,population,white_pop,med_rent,med_hh_inc,rent_units,white_pct
06075010101,1911,768,2348,89022,1115,0.40188383045525905
06075010102,1917,630,1392,102826,666,0.3286384976525822
06075010201,2650,1794,3114,156017,993,0.6769811320754717
06075010202,1839,1240,2765,176958,800,0.6742794997281131
06075010300,3824,2283,2417,158144,1620,0.5970188284518828
06075010401,2427,1270,3167,181705,720,0.523279769262464
06075010402,1924,1292,2759,203354,842,0.6715176715176715
06075010500,3473,1475,2780,179896,1437,0.42470486610999136
06075010600,2957,935,2183,75938,1562,0.3161988501859993
06075010701,3021,149,741,24854,1682,0.04932141674942072
06075010702,1398,423,1542,84904,531,0.30257510729613735
06075010800,4047,1784,2151,123750,1882,0.4408203607610576
06075010901,2067,1466,2898,183468,906,0.7092404450895017
06075010902,2589,1709,3154,155234,1277,0.660100424874469
06075011001,2402,1428,2500,129423,1177,0.5945045795170691
06075011002,1992,1001,2852,157980,787,0.5025100401606426
06075011101,2477,1115,1954,93056,1289,0.4501412999596286
06075011102,2207,803,2312,104966,1202,0.3638423198912551
06075011200,2676,1339,2394,121855,1308,0.500373692077728
06075011300,2589,556,1023,32623,1263,0.21475473155658556
06075011700,1914,862,1533,51464,911,0.4503657262277952
06075011800,1376,90,884,43487,645,0.06540697674418605
06075011901,2022,838,1936,96518,1044,0.41444114737883286
06075011902,3032,1129,2025,75625,1625,0.3723614775725594
06075012001,1746,612,1920,80300,955,0.35051546391752575
06075012002,2126,658,2270,72549,1195,0.30950141110065854
06075012100,3203,1552,1984,108000,1792,0.48454573837027787
06075012202,2915,1068,1353,57897,1225,0.3663807890222985
06075012203,1524,636,1418,23440,1058,0.41732283464566927
06075012204,2571,1047,1643,64707,1400,0.4072345390898483
06075012301,1924,548,1004,23385,1154,0.28482328482328484
06075012302,2700,1105,1517,44954,1889,0.40925925925925927
06075012403,2481,339,1109,146050,1205,0.13663845223700122
06075012404,2714,784,1122,146050,1524,0.28887251289609434
06075012405,3764,1373,2227,113665,2542,0.36477151965993626
06075012406,1529,455,1082,146050,832,0.2975801177240026
06075012502,4517,957,534,18217,2250,0.21186628293114898
06075012503,4772,730,1070,50696,2179,0.15297569153394802
06075012504,693,121,567,19333,300,0.1746031746031746
06075012601,2105,1548,2781,171058,996,0.7353919239904988
06075012602,3071,2536,3320,244000,1016,0.8257896450667535
06075012700,4027,3342,3501,234886,1283,0.8298981872361559
06075012801,2568,2013,3004,215568,725,0.7838785046728972
06075012802,1855,1218,3501,250001,705,0.6566037735849056
06075012901,2830,1980,3302,219125,1153,0.6996466431095406
06075012902,2589,1810,2754,189444,1331,0.6991116261104674
06075013001,1427,1165,3483,154659,622,0.8163980378416258
06075013002,2843,2090,3501,244215,961,0.735138937741822
06075013101,3768,2069,3501,197014,1725,0.5490976645435244
06075013102,2550,1704,3501,250001,1071,0.668235294117647
06075013200,3481,2493,3408,164375,1333,0.7161735133582304
06075013300,3952,2623,2884,176250,1156,0.6637145748987854
06075013401,1390,915,2447,212593,640,0.658273381294964
06075013402,2420,1468,2635,175201,926,0.6066115702479339
06075013500,2807,2135,2909,179194,1204,0.7605985037406484
06075015100,2641,1299,3336,159921,1018,0.49185914426353655
06075015201,1615,834,2102,91420,912,0.5164086687306502
06075015202,2413,1238,3036,156713,600,0.5130542892664732
06075015300,2377,1591,3028,214688,629,0.6693310896087505
06075015401,3205,1674,2852,165833,1171,0.5223088923556942
06075015402,2688,1801,2932,171960,1034,0.6700148809523809
06075015500,4011,1815,2114,95841,2017,0.4525056095736724
06075015600,2964,1262,2286,92963,1030,0.4257759784075574
06075015701,4777,2474,2780,182353,810,0.5178982625078501
06075015702,3080,1729,2865,216071,798,0.5613636363636364
06075015801,3384,1163,2080,121563,1084,0.34367612293144206
06075015802,3095,1610,2618,152917,1237,0.5201938610662359
06075015900,4861,1539,1499,83866,1654,0.3166015223205102
06075016000,2892,964,2228,131771,1322,0.3333333333333333
06075016101,2426,957,2541,31690,1291,0.3944765045342127
06075016102,2989,202,1033,34575,1149,0.06758113081298094
06075016200,3209,1531,2676,102035,1666,0.4770956684325335
06075016300,3925,2337,2267,135658,1650,0.5954140127388535
06075016400,3571,2265,3223,161612,1472,0.634276113133576
06075016500,5206,3443,2830,153096,1528,0.6613522858240491
06075016601,2836,2036,2568,134211,1192,0.7179125528913963
06075016602,1912,1333,3338,223877,801,0.6971757322175732
06075016700,4852,2967,2934,239839,1625,0.6115004122011541
06075016801,4223,1959,2647,123147,1697,0.46388823111532085
06075016802,3943,2106,2424,135588,1624,0.5341110829317778
06075016900,2889,2122,2475,201827,996,0.7345102111457251
06075017000,4061,2849,2487,229013,1081,0.7015513420339817
06075017101,4003,2642,3343,201944,1158,0.6600049962528104
06075017102,3165,2296,3110,173594,993,0.725434439178515
06075017602,3560,993,1810,146050,1385,0.27893258426966294
06075017603,4964,1490,2489,124291,1977,0.30016116035455276
06075017604,3965,958,2286,101761,2092,0.2416141235813367
06075017700,2946,1019,2379,124679,1009,0.3458927359131025
06075017801,3019,494,580,28408,1800,0.1636303411725737
06075017803,2415,704,1434,85909,954,0.29151138716356106
06075017804,4380,1587,2655,134264,1468,0.36232876712328765
06075017903,2429,839,2415,93269,616,0.3454096335940716
06075018000,3492,1283,3455,212439,1328,0.36741122565864837
06075020101,3943,1375,2821,135759,1421,0.3487192493025615
06075020102,3463,981,1764,100761,1085,0.2832803927230725
06075020201,1905,914,2310,94265,756,0.4797900262467192
06075020202,3979,1591,2420,166985,1719,0.399849208343805
06075020300,3419,1985,2817,182547,1378,0.5805791167007897
06075020401,3400,2256,3388,196667,881,0.6635294117647059
06075020402,4061,2367,2848,152097,1626,0.5828613641960109
