id,lat,lon,year_month
1,37.708252085,-122.426851395,2010-01
2,37.73325835,-122.388814815,2004-09
3,37.773089318,-122.42979862,2008-02
4,37.72941909,-122.404411916,2005-04
5,37.737181532,-122.398344129,2007-01
6,37.773093502,-122.433947266,2018-04
7,37.804940338,-122.437002201,2000-11
8,37.744177605,-122.471353653,2008-04
9,37.780920071,-122.395242268,2009-07
10,37.715762678,-122.40020166,2000-05
11,37.785134858,-122.451021684,2019-08
12,37.774091304,-122.419997169,2022-07
13,37.777743511,-122.492627386,2005-05
14,37.777167948,-122.426337321,2020-08
15,37.795370926,-122.445248653,2018-05
16,37.785631782,-122.413782611,2012-07
17,37.798535302,-122.405486521,1997-07
18,37.768408394,-122.426588992,2013-04
19,37.765849324,-122.434368974,2013-08
20,37.760186264,-122.46765242,1998-11
21,37.784091036,-122.411784368,2005-07
22,37.723694038,-122.432867469,2014-07
23,37.77409047,-122.451977202,2010-09
24,37.712874484,-122.406160095,2016-03
25,37.777744741,-122.439206965,2001-04
26,37.711983937,-122.407615988,2005-10
27,37.74940229,-122.421406673,2013-07
28,37.734795203,-122.451311178,2006-11
29,37.715544557,-122.473629106,2019-02
30,37.7447384,-122.422239834,1998-11
31,37.779530959,-122.413542707,2010-09
32,37.750491683,-122.407130357,2000-06
33,37.793424235,-122.412458134,2000-12
34,37.729762792,-122.426123522,2006-11
35,37.768383552,-122.417249514,2013-09
36,37.775136576,-122.443758211,2014-12
37,37.78832457,-122.393911345,2022-08
38,37.7868729,-122.427512151,2015-09
39,37.791452363,-122.406543299,1998-12
40,37.762632879,-122.496945439,2000-02
41,37.801157516,-122.429637224,1999-03
42,37.759630285,-122.502716421,1997-04
43,37.731470258,-122.443136514,2014-01
44,37.778676959,-122.408601057,2022-08
45,37.784190905,-122.410119482,2009-04
46,37.746525647,-122.416497793,2003-07
47,37.754784892,-122.465129647,2015-07
48,37.801486476,-122.412004249,2004-09
49,37.75142522,-122.432988339,2001-07
50,37.763347635,-122.419967702,2000-12
51,37.735315131,-122.403595623,2002-10
52,37.751509843,-122.417210392,2004-12
53,37.789758473,-122.391463471,2013-10
54,37.783006862,-122.483800845,1999-10
55,37.714293189,-122.441384225,2001-07
56,37.75170829,-122.439617476,2004-10
57,37.715177758,-122.468838492,2000-06
58,37.801624499,-122.404014796,2023-03
59,37.752343407,-122.417623158,2012-04
60,37.783059063,-122.415719877,2014-08
61,37.810951283,-122.3676389,2003-10
62,37.761386009,-122.482883771,2011-07
63,37.781717539,-122.389147051,2025-02
64,37.755032796,-122.501787735,2018-04
65,37.7723804,-122.508821438,2019-06
66,37.768715043,-122.449998926,2005-11
67,37.749901708,-122.417193854,2003-08
68,37.776922202,-122.417990765,2025-11
69,37.729480622,-122.430398999,2025-07
70,37.722760282,-122.455200494,2014-07
71,37.78574307,-122.465627229,1999-12
72,37.79766653,-122.42295946,2000-06
73,37.781857068,-122.474393948,2014-12
74,37.759583133,-122.503788053,2014-05
75,37.712157428,-122.406049918,2016-01
76,37.775769435,-122.442970614,1998-04
77,37.717515182,-122.480598519,2016-02
78,37.742210275,-122.473557269,2015-05
79,37.735250365,-122.416860541,1999-08
80,37.764112737,-122.421739994,2009-03
81,37.716163777,-122.482445259,2014-02
82,37.738928541,-122.505563265,2013-06
83,37.786059846,-122.414643592,2025-01
84,37.78500949,-122.418713807,2010-02
85,37.757442527,-122.424565736,2002-03
86,37.764276983,-122.418688073,2000-07
87,37.736604579,-122.505260501,2014-12
88,37.752652215,-122.401485165,1998-10
89,37.78161364,-122.41205414,2025-05
90,37.768553825,-122.424583327,1998-02
91,37.749108126,-122.486789068,2015-10
92,37.77608586,-122.437164936,2001-08
93,37.716719478,-122.477542844,2018-12
94,37.78437098,-122.443017545,2026-02
95,37.752712536,-122.409592911,1998-12
96,37.734899346,-122.447467706,1998-02
97,37.780442314,-122.506330074,2008-06
98,37.716452189,-122.436629331,2019-06
99,37.780705519,-122.507027884,2000-02
100,37.764189877,-122.420437704,2001-02
101,37.754654406,-122.401112779,2014-12
102,37.714644433,-122.433179246,2001-01
103,37.786514716,-122.469512922,2021-04
104,37.803216047,-122.432514629,2020-10
105,37.765216193,-122.426592529,2014-10
106,37.765792222,-122.420909959,2007-12
107,37.758234933,-122.491870949,2021-06
108,37.763467169,-122.500695301,1999-12
109,37.774303922,-122.439439821,2003-10
110,37.72991139,-122.458950873,2020-03
111,37.765887298,-122.464856796,2014-03
112,37.715577211,-122.438972908,2001-06
113,37.738270728,-122.396917502,2010-12
114,37.787488452,-122.444566816,2006-01
115,37.760151412,-122.404965544,2014-01
116,37.715544557,-122.473629106,2011-07
117,37.762392063,-122.482486395,2015-01
118,37.779248602,-122.414947412,1997-09
119,37.782743972,-122.414884812,2023-04
120,37.79932587,-122.424981099,2002-03
121,37.750286898,-122.410803333,1998-11
122,37.717607786,-122.441870333,2000-02
123,37.780877259,-122.414506898,2024-08
124,37.730654589,-122.386831265,2010-11
125,37.795592943,-122.428372802,2016-02
126,37.777790309,-122.412834332,2016-02
127,37.776712311,-122.474255745,2010-08
128,37.749375762,-122.413497028,1997-12
129,37.768110129,-122.421776597,2000-07
130,37.717515182,-122.480598519,2016-02
131,37.785217363,-122.41706961,2005-11
132,37.731296227,-122.380133846,2022-08
133,37.795787019,-122.422579704,2024-11
134,37.742949645,-122.420904705,1999-11
135,37.766997913,-122.427858202,1999-12
136,37.77299247,-122.476157907,2010-02
137,37.718103122,-122.405778673,2017-07
138,37.780792081,-122.408385744,2012-05
139,37.76094336,-122.420805121,2006-03
140,37.753036929,-122.43091043,1997-05
141,37.753777155,-122.465666709,2015-09
142,37.771514704,-122.438872424,2016-09
143,37.803388935,-122.408958166,2016-06
144,37.795232346,-122.416494402,2016-04
145,37.753304065,-122.47649113,2016-06
146,37.78832457,-122.393911345,2023-06
147,37.804000692,-122.436811175,2006-02
148,37.780343254,-122.437097625,2025-12
149,37.78511799,-122.41873546,2020-10
150,37.744465043,-122.43884985,2017-07
151,37.761039768,-122.419213667,2016-08
152,37.783689059,-122.468703015,1997-12
153,37.747054025,-122.417186159,1998-02
154,37.794036337,-122.411014199,2002-08
155,37.774818424,-122.442918469,2002-07
156,37.804250964,-122.408817647,1998-03
157,37.722039068,-122.431478554,2013-09
158,37.779530959,-122.413542707,2010-09
159,37.797335884,-122.419095223,2019-10
160,37.718280491,-122.461738908,2015-10
161,37.743089808,-122.496045392,2007-12
162,37.773408312,-122.486332269,2021-12
163,37.723596674,-122.424885225,2000-05
164,37.716652151,-122.474170187,1999-03
165,37.78832457,-122.393911345,2022-10
166,37.772694134,-122.42218914,2017-11
167,37.757732251,-122.433032371,2014-07
168,37.756910977,-122.407609181,2018-07
169,37.728418179,-122.449979038,2015-07
170,37.770796765,-122.441188744,2003-12
171,37.714311121,-122.492030022,2014-11
172,37.724546508,-122.434380251,2003-09
173,37.775475186,-122.426907978,2002-06
174,37.751376298,-122.419409557,1997-02
175,37.801704177,-122.428833527,2022-11
176,37.743577699,-122.427771264,2011-07
177,37.785952108,-122.479245675,2002-12
178,37.766540199,-122.434434755,2001-05
179,37.753075149,-122.481697902,2022-06
180,37.765586078,-122.424297543,2012-04
181,37.762029365,-122.429546491,2025-03
182,37.791710043,-122.42277541,2001-09
183,37.775136576,-122.443758211,2012-12
184,37.794613864,-122.403978966,2019-09
185,37.712947717,-122.445051659,2004-01
186,37.757903762,-122.417819317,2013-08
187,37.802722214,-122.4442587,2012-03
188,37.756485797,-122.434652829,2000-04
189,37.795475652,-122.425889481,2016-03
190,37.779530959,-122.413542707,2012-08
