GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUUEE001,AUUEE002,AUUEE003,NAME_M,AUUEM001,AUUEM002,AUUEM003
G0600750010101,2020-2024,CA,,,California,06,San Francisco County,075,,,010101,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010101,,,06075010101,"Census Tract 101.01, San Francisco County, California",1216,101,1115,"Census Tract 101.01, San Francisco County, California",150,59,160
G0600750010102,2020-2024,CA,,,California,06,San Francisco County,075,,,010102,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010102,,,06075010102,"Census Tract 101.02, San Francisco County, California",930,264,666,"Census Tract 101.02, San Francisco County, California",211,82,212
G0600750010201,2020-2024,CA,,,California,06,San Francisco County,075,,,010201,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010201,,,06075010201,"Census Tract 102.01, San Francisco County, California",1399,406,993,"Census Tract 102.01, San Francisco County, California",179,143,117
G0600750010202,2020-2024,CA,,,California,06,San Francisco County,075,,,010202,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010202,,,06075010202,"Census Tract 102.02, San Francisco County, California",1099,299,800,"Census Tract 102.02, San Francisco County, California",174,105,192
G0600750010300,2020-2024,CA,,,California,06,San Francisco County,075,,,010300,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010300,,,06075010300,"Census Tract 103, San Francisco County, California",2060,440,1620,"Census Tract 103, San Francisco County, California",340,182,358
G0600750010401,2020-2024,CA,,,California,06,San Francisco County,075,,,010401,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010401,,,06075010401,"Census Tract 104.01, San Francisco County, California",953,233,720,"Census Tract 104.01, San Francisco County, California",209,71,209
G0600750010402,2020-2024,CA,,,California,06,San Francisco County,075,,,010402,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010402,,,06075010402,"Census Tract 104.02, San Francisco County, California",1233,391,842,"Census Tract 104.02, San Francisco County, California",131,112,131
G0600750010500,2020-2024,CA,,,California,06,San Francisco County,075,,,010500,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010500,,,06075010500,"Census Tract 105, San Francisco County, California",1848,411,1437,"Census Tract 105, San Francisco County, California",227,139,209
G0600750010600,2020-2024,CA,,,California,06,San Francisco County,075,,,010600,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010600,,,06075010600,"Census Tract 106, San Francisco County, California",1723,161,1562,"Census Tract 106, San Francisco County, California",237,67,237
G0600750010701,2020-2024,CA,,,California,06,San Francisco County,075,,,010701,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010701,,,06075010701,"Census Tract 107.01, San Francisco County, California",1792,110,1682,"Census Tract 107.01, San Francisco County, California",258,75,270
G0600750010702,2020-2024,CA,,,California,06,San Francisco County,075,,,010702,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010702,,,06075010702,"Census Tract 107.02, San Francisco County, California",660,129,531,"Census Tract 107.02, San Francisco County, California",115,77,92
G0600750010800,2020-2024,CA,,,California,06,San Francisco County,075,,,010800,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010800,,,06075010800,"Census Tract 108, San Francisco County, California",2402,520,1882,"Census Tract 108, San Francisco County, California",358,166,339
G0600750010901,2020-2024,CA,,,California,06,San Francisco County,075,,,010901,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010901,,,06075010901,"Census Tract 109.01, San Francisco County, California",1058,152,906,"Census Tract 109.01, San Francisco County, California",117,82,133
G0600750010902,2020-2024,CA,,,California,06,San Francisco County,075,,,010902,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010902,,,06075010902,"Census Tract 109.02, San Francisco County, California",1461,184,1277,"Census Tract 109.02, San Francisco County, California",237,82,262
G0600750011001,2020-2024,CA,,,California,06,San Francisco County,075,,,011001,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011001,,,06075011001,"Census Tract 110.01, San Francisco County, California",1418,241,1177,"Census Tract 110.01, San Francisco County, California",216,110,202
G0600750011002,2020-2024,CA,,,California,06,San Francisco County,075,,,011002,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011002,,,06075011002,"Census Tract 110.02, San Francisco County, California",1204,417,787,"Census Tract 110.02, San Francisco County, California",256,232,156
G0600750011101,2020-2024,CA,,,California,06,San Francisco County,075,,,011101,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011101,,,06075011101,"Census Tract 111.01, San Francisco County, California",1448,159,1289,"Census Tract 111.01, San Francisco County, California",251,96,257
G0600750011102,2020-2024,CA,,,California,06,San Francisco County,075,,,011102,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011102,,,06075011102,"Census Tract 111.02, San Francisco County, California",1321,119,1202,"Census Tract 111.02, San Francisco County, California",264,64,267
G0600750011200,2020-2024,CA,,,California,06,San Francisco County,075,,,011200,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011200,,,06075011200,"Census Tract 112, San Francisco County, California",1660,352,1308,"Census Tract 112, San Francisco County, California",213,113,233
G0600750011300,2020-2024,CA,,,California,06,San Francisco County,075,,,011300,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011300,,,06075011300,"Census Tract 113, San Francisco County, California",1362,99,1263,"Census Tract 113, San Francisco County, California",170,53,171
G0600750011700,2020-2024,CA,,,California,06,San Francisco County,075,,,011700,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011700,,,06075011700,"Census Tract 117, San Francisco County, California",1105,194,911,"Census Tract 117, San Francisco County, California",178,87,187
G0600750011800,2020-2024,CA,,,California,06,San Francisco County,075,,,011800,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011800,,,06075011800,"Census Tract 118, San Francisco County, California",654,9,645,"Census Tract 118, San Francisco County, California",100,14,102
G0600750011901,2020-2024,CA,,,California,06,San Francisco County,075,,,011901,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011901,,,06075011901,"Census Tract 119.01, San Francisco County, California",1219,175,1044,"Census Tract 119.01, San Francisco County, California",144,64,135
G0600750011902,2020-2024,CA,,,California,06,San Francisco County,075,,,011902,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011902,,,06075011902,"Census Tract 119.02, San Francisco County, California",1745,120,1625,"Census Tract 119.02, San Francisco County, California",213,66,218
G0600750012001,2020-2024,CA,,,California,06,San Francisco County,075,,,012001,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012001,,,06075012001,"Census Tract 120.01, San Francisco County, California",1002,47,955,"Census Tract 120.01, San Francisco County, California",187,43,184
