GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO7E001,AUO7E002,AUO7E003,AUO7E004,AUO7E005,AUO7E006,AUO7E007,AUO7E008,AUO7E009,AUO7E010,NAME_M,AUO7M001,AUO7M002,AUO7M003,AUO7M004,AUO7M005,AUO7M006,AUO7M007,AUO7M008,AUO7M009,AUO7M010
G0600750010101,2020-2024,CA,,,California,06,San Francisco County,075,,,010101,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010101,,,06075010101,"Census Tract 101.01, San Francisco County, California",1911,768,113,62,561,58,183,166,112,54,"Census Tract 101.01, San Francisco County, California",285,166,124,66,156,87,175,97,86,48
G0600750010102,2020-2024,CA,,,California,06,San Francisco County,075,,,010102,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010102,,,06075010102,"Census Tract 101.02, San Francisco County, California",1917,630,385,0,770,12,79,41,20,21,"Census Tract 101.02, San Francisco County, California",339,171,322,14,192,19,124,33,23,22
G0600750010201,2020-2024,CA,,,California,06,San Francisco County,075,,,010201,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010201,,,06075010201,"Census Tract 102.01, San Francisco County, California",2650,1794,153,55,189,0,25,434,199,235,"Census Tract 102.01, San Francisco County, California",532,471,114,66,86,14,32,278,158,173
G0600750010202,2020-2024,CA,,,California,06,San Francisco County,075,,,010202,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010202,,,06075010202,"Census Tract 102.02, San Francisco County, California",1839,1240,30,0,277,18,72,202,80,122,"Census Tract 102.02, San Francisco County, California",311,323,49,14,180,38,77,100,82,77
G0600750010300,2020-2024,CA,,,California,06,San Francisco County,075,,,010300,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010300,,,06075010300,"Census Tract 103, San Francisco County, California",3824,2283,0,75,925,0,156,385,316,69,"Census Tract 103, San Francisco County, California",551,455,14,121,319,14,224,191,179,65
G0600750010401,2020-2024,CA,,,California,06,San Francisco County,075,,,010401,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010401,,,06075010401,"Census Tract 104.01, San Francisco County, California",2427,1270,7,5,585,0,72,488,76,412,"Census Tract 104.01, San Francisco County, California",739,328,20,12,157,14,69,508,82,437
G0600750010402,2020-2024,CA,,,California,06,San Francisco County,075,,,010402,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010402,,,06075010402,"Census Tract 104.02, San Francisco County, California",1924,1292,31,0,431,0,41,129,55,74,"Census Tract 104.02, San Francisco County, California",254,234,39,14,139,14,57,100,57,84
G0600750010500,2020-2024,CA,,,California,06,San Francisco County,075,,,010500,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010500,,,06075010500,"Census Tract 105, San Francisco County, California",3473,1475,31,0,1760,0,53,154,43,111,"Census Tract 105, San Francisco County, California",506,383,44,14,417,14,59,130,107,74
G0600750010600,2020-2024,CA,,,California,06,San Francisco County,075,,,010600,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010600,,,06075010600,"Census Tract 106, San Francisco County, California",2957,935,104,13,1480,0,27,398,212,186,"Census Tract 106, San Francisco County, California",407,220,68,20,316,14,28,181,148,104
G0600750010701,2020-2024,CA,,,California,06,San Francisco County,075,,,010701,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010701,,,06075010701,"Census Tract 107.01, San Francisco County, California",3021,149,0,0,2784,0,28,60,0,60,"Census Tract 107.01, San Francisco County, California",616,53,14,14,623,14,31,65,14,65
