GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO6E001,NAME_M,AUO6M001
G0600750010101,2020-2024,CA,,,California,06,San Francisco County,075,,,010101,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010101,,,06075010101,"Census Tract 101.01, San Francisco County, California",1911,"Census Tract 101.01, San Francisco County, California",285
G0600750010102,2020-2024,CA,,,California,06,San Francisco County,075,,,010102,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010102,,,06075010102,"Census Tract 101.02, San Francisco County, California",1917,"Census Tract 101.02, San Francisco County, California",339
G0600750010201,2020-2024,CA,,,California,06,San Francisco County,075,,,010201,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010201,,,06075010201,"Census Tract 102.01, San Francisco County, California",2650,"Census Tract 102.01, San Francisco County, California",532
G0600750010202,2020-2024,CA,,,California,06,San Francisco County,075,,,010202,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010202,,,06075010202,"Census Tract 102.02, San Francisco County, California",1839,"Census Tract 102.02, San Francisco County, California",311
G0600750010300,2020-2024,CA,,,California,06,San Francisco County,075,,,010300,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010300,,,06075010300,"Census Tract 103, San Francisco County, California",3824,"Census Tract 103, San Francisco County, California",551
G0600750010401,2020-2024,CA,,,California,06,San Francisco County,075,,,010401,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010401,,,06075010401,"Census Tract 104.01, San Francisco County, California",2427,"Census Tract 104.01, San Francisco County, California",739
G0600750010402,2020-2024,CA,,,California,06,San Francisco County,075,,,010402,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010402,,,06075010402,"Census Tract 104.02, San Francisco County, California",1924,"Census Tract 104.02, San Francisco County, California",254
G0600750010500,2020-2024,CA,,,California,06,San Francisco County,075,,,010500,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010500,,,06075010500,"Census Tract 105, San Francisco County, California",3473,"Census Tract 105, San Francisco County, California",506
G0600750010600,2020-2024,CA,,,California,06,San Francisco County,075,,,010600,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010600,,,06075010600,"Census Tract 106, San Francisco County, California",2957,"Census Tract 106, San Francisco County, California",407
G0600750010701,2020-2024,CA,,,California,06,San Francisco County,075,,,010701,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010701,,,06075010701,"Census Tract 107.01, San Francisco County, California",3021,"Census Tract 107.01, San Francisco County, California",616
G0600750010702,2020-2024,CA,,,California,06,San Francisco County,075,,,010702,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010702,,,06075010702,"Census Tract 107.02, San Francisco County, California",1398,"Census Tract 107.02, San Francisco County, California",257
G0600750010800,2020-2024,CA,,,California,06,San Francisco County,075,,,010800,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010800,,,06075010800,"Census Tract 108, San Francisco County, California",4047,"Census Tract 108, San Francisco County, California",537
G0600750010901,2020-2024,CA,,,California,06,San Francisco County,075,,,010901,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010901,,,06075010901,"Census Tract 109.01, San Francisco County, California",2067,"Census Tract 109.01, San Francisco County, California",334
G0600750010902,2020-2024,CA,,,California,06,San Francisco County,075,,,010902,,,,,,,,,,,,,,,,,,,,,,,1400000US06075010902,,,06075010902,"Census Tract 109.02, San Francisco County, California",2589,"Census Tract 109.02, San Francisco County, California",528
G0600750011001,2020-2024,CA,,,California,06,San Francisco County,075,,,011001,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011001,,,06075011001,"Census Tract 110.01, San Francisco County, California",2402,"Census Tract 110.01, San Francisco County, California",421
G0600750011002,2020-2024,CA,,,California,06,San Francisco County,075,,,011002,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011002,,,06075011002,"Census Tract 110.02, San Francisco County, California",1992,"Census Tract 110.02, San Francisco County, California",449
G0600750011101,2020-2024,CA,,,California,06,San Francisco County,075,,,011101,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011101,,,06075011101,"Census Tract 111.01, San Francisco County, California",2477,"Census Tract 111.01, San Francisco County, California",413
G0600750011102,2020-2024,CA,,,California,06,San Francisco County,075,,,011102,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011102,,,06075011102,"Census Tract 111.02, San Francisco County, California",2207,"Census Tract 111.02, San Francisco County, California",436
G0600750011200,2020-2024,CA,,,California,06,San Francisco County,075,,,011200,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011200,,,06075011200,"Census Tract 112, San Francisco County, California",2676,"Census Tract 112, San Francisco County, California",392
G0600750011300,2020-2024,CA,,,California,06,San Francisco County,075,,,011300,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011300,,,06075011300,"Census Tract 113, San Francisco County, California",2589,"Census Tract 113, San Francisco County, California",473
G0600750011700,2020-2024,CA,,,California,06,San Francisco County,075,,,011700,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011700,,,06075011700,"Census Tract 117, San Francisco County, California",1914,"Census Tract 117, San Francisco County, California",315
G0600750011800,2020-2024,CA,,,California,06,San Francisco County,075,,,011800,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011800,,,06075011800,"Census Tract 118, San Francisco County, California",1376,"Census Tract 118, San Francisco County, California",260
G0600750011901,2020-2024,CA,,,California,06,San Francisco County,075,,,011901,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011901,,,06075011901,"Census Tract 119.01, San Francisco County, California",2022,"Census Tract 119.01, San Francisco County, California",300
G0600750011902,2020-2024,CA,,,California,06,San Francisco County,075,,,011902,,,,,,,,,,,,,,,,,,,,,,,1400000US06075011902,,,06075011902,"Census Tract 119.02, San Francisco County, California",3032,"Census Tract 119.02, San Francisco County, California",641
G0600750012001,2020-2024,CA,,,California,06,San Francisco County,075,,,012001,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012001,,,06075012001,"Census Tract 120.01, San Francisco County, California",1746,"Census Tract 120.01, San Francisco County, California",488
G0600750012002,2020-2024,CA,,,California,06,San Francisco County,075,,,012002,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012002,,,06075012002,"Census Tract 120.02, San Francisco County, California",2126,"Census Tract 120.02, San Francisco County, California",377
G0600750012100,2020-2024,CA,,,California,06,San Francisco County,075,,,012100,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012100,,,06075012100,"Census Tract 121, San Francisco County, California",3203,"Census Tract 121, San Francisco County, California",399
G0600750012202,2020-2024,CA,,,California,06,San Francisco County,075,,,012202,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012202,,,06075012202,"Census Tract 122.02, San Francisco County, California",2915,"Census Tract 122.02, San Francisco County, California",377
G0600750012203,2020-2024,CA,,,California,06,San Francisco County,075,,,012203,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012203,,,06075012203,"Census Tract 122.03, San Francisco County, California",1524,"Census Tract 122.03, San Francisco County, California",386
G0600750012204,2020-2024,CA,,,California,06,San Francisco County,075,,,012204,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012204,,,06075012204,"Census Tract 122.04, San Francisco County, California",2571,"Census Tract 122.04, San Francisco County, California",554
G0600750012301,2020-2024,CA,,,California,06,San Francisco County,075,,,012301,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012301,,,06075012301,"Census Tract 123.01, San Francisco County, California",1924,"Census Tract 123.01, San Francisco County, California",382
G0600750012302,2020-2024,CA,,,California,06,San Francisco County,075,,,012302,,,,,,,,,,,,,,,,,,,,,,,1400000US06075012302,,,06075012302,"Census Tract 123.02, San Francisco County, California",2700,"Census Tract 123.02, San Francisco County, California",266
